Disciplina,Assunto,Pergunta,Resposta,Imagem,Selecionada
Matemática,Geometria,O que é um ponto?,"Um ponto é uma entidade fundamental que não tem dimensões. É considerado um objeto elementar, sem comprimento, largura ou altura.",0.0,0.0
Matemática,Geometria,O que é uma reta?,Uma reta é um objeto geométrico fundamental. Uma linha inifita e sem curvas. É composta por uma sequência contínua de pontos.,0.0,0.0
Matemática,Geometria,O que é um plano?,Um plano é um conceito matemático que pode ser descrito como uma superfíce plana e infinita que se estende para todas as dimensões. Composto por três pontos não colineares.,0.0,0.0
Matemática,Geometria,O que significa pontos colineares?,São pontos que pertencem a uma mesma linha.,0.0,0.0
Matemática,Geometria,Defina segmento de reta:,"Um segmento de reta é uma reta que possui um ponto inicial e final. Ou seja, é uma reta finita, ou uma parte de uma reta.",0.0,0.0
Matemática,Geometria,Defina retas paralelas:,Retas paralelas são retas que NUNCA se encontram. Podemos traçar uma reta perpendicular que separa ambas.,0.0,0.0
Matemática,Geometria,Defina retas perpendiculares:,São retas que formam um ângulo de 90º entre si.,0.0,0.0
Matemática,Geometria,O que é uma semireta?,Uma semireta é uma reta que possui início e não possuí fim.,0.0,0.0
Matemática,Geometria,O que é um raio?,Um raio é um segmento de reta que liga o centro de um círculo até qualquer ponto na circunferência de um círculo.,0.0,0.0
Matemática,Geometria,O que é uma corda?,É um segmento que liga dois pontos quaisquer da circunferência sem passar pelo centro.,0.0,0.0
Matemática,Geometria,O que é um diametro?,"É um segmento que liga dois pontos da circunferência, passando pelo centro do círculo",0.0,0.0
Matemática,Geometria,O que é um ângulo?,Um ângulo é a união de duas semirretas com um vértice comum.,0.0,0.0
Matemática,Geometria,O que é um vértice?,Encontro de duas semiretas.,0.0,0.0
Matemática,Geometria,Defina ângulo agudo:,É um ângulo com menos de 90º,0.0,0.0
Matemática,Geometria,Defina ângulo reto:,É um ângulo com 90º.,0.0,0.0
Matemática,Geometria,Defina ângulo obtuso:,É um ângulo maior que 90º.,0.0,0.0
Matemática,Geometria,Defina ângulo raso:,É um ângulo com 180º,0.0,0.0
Matemática,Geometria,Quantos Graus tem um triângulo?,Qualquer triângulo possuí 180º.,0.0,0.0
Matemática,Geometria,Quais são as classificações de um triângulo?,"Podemos classificar um triângulo como Escalenos (Três lados diferentes), Isósceles (Dois lados iguais) ou Equilátero (Três lados iguais).",0.0,0.0
Matemática,Geometria,O que são retas transversais?,Retas transversais são retas que cruzam um par ou um feixe de retas paralelas.,0.0,0.0
Matemática,Geometria,Em que tipo de triângulo podemos aplicar o Teorema de Pitagoras?,O teorema de pitagoras pode ser aplicado em triângulos retângulos.,0.0,0.0
Matemática,Geometria,Qual é a hipotenusa e os catetos de um triângulo retângulo?,"A hipotenusa é o ângulo oposto ao ângulo reto, os catetos são os demais lados.",0.0,0.0
Matemática,Geometria,Qual a fórmula do teorema de pitagoras?,a² + b² = c²,0.0,0.0
Matemática,Geometria,O que é a Mediana de um triângulo?,Mediana é um segmento que divide as bases do triângulo em duas partes iguais. Dessa forma temos que mediana é um segmento de reta com origem em um dos vértices do triângulo e extremidade no ponto médio do lado oposto ao vértice.,0.0,0.0
Matemática,Geometria,O que é a Bissetriz?,Bissetriz também é um segmento de reta com origem em um dos vértices do triângulo com a outra extremidade no lado oposto a esse vértice. Sendo que ela divide ao meio o ângulo correspondente ao vértice.,0.0,0.0
Matemática,Geometria,O que é a altura de um triângulo?,Encontramos a medida da altura de um triângulo através de um segmento de reta com origem em um dos vértices e perpendicular (forma um ângulo de 90º) ao lado oposto.,0.0,0.0
Matemática,Geometria,Como se calcula a área de um triângulo?,A = (b * h) / 2,0.0,0.0
Matemática,Geometria,O que é o perimetro de uma figura plana?,Se trata da soma de TODOS os lados da figura.,0.0,0.0
Matemática,Geometria,Como podemos definir um poligono?,"Poligonos são figuras fechadas com N lados. Existem dois tipos de polígonos, os regulares e os irregulares.",0.0,0.0
Matemática,Geometria,Em que tipo de triângulo podemos aplicar o Teorema de Pitagoras?,O teorema de pitagoras pode ser aplicado em triângulos retângulos.,0.0,0.0
Matemática,Geometria,Qual é a hipotenusa e os catetos de um triângulo retângulo?,"A hipotenusa é o ângulo oposto ao ângulo reto, os catetos são os demais lados.",0.0,0.0
Matemática,Geometria,Qual a fórmula do teorema de pitagoras?,a² + b² = c²,0.0,0.0
Matemática,Geometria,O que é a Mediana de um triângulo?,Mediana é um segmento que divide as bases do triângulo em duas partes iguais. Dessa forma temos que mediana é um segmento de reta com origem em um dos vértices do triângulo e extremidade no ponto médio do lado oposto ao vértice.,0.0,0.0
Matemática,Geometria,O que é a Bissetriz?,Bissetriz também é um segmento de reta com origem em um dos vértices do triângulo com a outra extremidade no lado oposto a esse vértice. Sendo que ela divide ao meio o ângulo correspondente ao vértice.,0.0,0.0
Matemática,Geometria,O que é a altura de um triângulo?,Encontramos a medida da altura de um triângulo através de um segmento de reta com origem em um dos vértices e perpendicular (forma um ângulo de 90º) ao lado oposto.,0.0,0.0
Matemática,Geometria,Como se calcula a área de um triângulo?,A = (b * h) / 2,0.0,0.0
Matemática,Geometria,O que é o perimetro de uma figura plana?,Se trata da soma de TODOS os lados da figura.,0.0,0.0
Matemática,Geometria,Como podemos definir um poligono?,"Poligonos são figuras fechadas com N lados. Existem dois tipos de polígonos, os regulares e os irregulares.",0.0,0.0
Matemática,Geometria,O que é um par ordenado?,Par ordenado é uma sequencia ordenada de valoresq ue representar uma coordenada no plano cartersiano.,0.0,0.0
Matemática,Geometria,Qual a fórmula para calcular a área de um trapézio?,"Um trapézio é calculado com A = ((B+b) * h) / 2. Onde B é a base maior, b é a base menor e h é a altura.",0.0,0.0
Matemática,Geometria,Qual a fórmula para Calcular a área de um losango?,A área de um Losango pode ser dada por A = (D * d) / 2. Onde D é a diagonal maior e d a diagonal menor.,0.0,0.0
Matemática,Geometria,Defina a relação trigonométrica que representa o Seno:,O seno de um ângulo pode ser descrito como uma razão entre o cateto oposto e a hipotenusa de um triângulo.,0.0,0.0
Matemática,Geometria,Defina a relação trigonométrica que representa o Coseno:,O coseno de um ângulo pode ser descrito como uma razão entre o cateto adjacente e a hipotenusa de um triângulo.,0.0,0.0
Matemática,Geometria,Defina a relação trigonométrica que representa a Tangente:,A tangente de um ângulo pode ser descrita como uma razão entre o cateto oposto e o cateto adjacente de um triângulo.,0.0,0.0
Matemática,Geometria,Qual é a soma dos ângulos externos de um triângulo?,Um triângulo sempre terá a soma dos ângulos externos como 360º,0.0,0.0
Matemática,Geometria,O que é a mediatriz de um triângulo?,É uma reta perpendicular que passa pelo ponto médio de um segmento.,0.0,0.0
Matemática,Geometria,O que é o ponto médio de um lado?,Ponto médio de um lado é o ponto que fica equidistante de ambos os vértices que formam aquele lado.,0.0,0.0
Matemática,Geometria,O que é o baricentro de um triângulo?,É o encontro das medianas do triângulo.,0.0,0.0
Matemática,Geometria,Como se calcula a soma dos ângulos internos de um poligono regular?,S=(n - 2) * 180º,0.0,0.0
Física,Cinematica,O que é cinemática?,É o campo da física que estuda o movimento dos corpos sem levar em consideração as causas que o produzem.,0.0,0.0
Física,Cinematica,O que é velocidade?,"É a taxa de variação do deslocamento de um objeto por unidade de tempo (Padrão é m/s, km/h)",0.0,0.0
Física,Cinematica,O que é aceleração?,É a taxa de variação de um objeto por unidade de tempo: a = V/T,0.0,0.0
Física,Cinematica,O que é movimento uniforme?,O movimento uniforme é aquele em que o objeto percorre distâncias iguais em intervalos de tempo iguais.,0.0,0.0
Física,Cinematica,O que é movimento uniformemente acelerado?,O movimento uniformemente acelerado é aquele em que a aceleração do objeto é constante ao longo do tempo.,0.0,0.0
Física,Cinematica,O que é deslocamento?,O deslocamento é a mudança de posição de um objeto em relação a um ponto de referência.,0.0,0.0
Física,Cinematica,O que é lançamento oblíquo?,O lançamento oblíquo é um tipo de movimento em que um objeto é lançado em um ângulo em relação à horizontal.,0.0,0.0
Física,Cinematica,O que é velocidade média?,A velocidade média é a razão entre o deslocamento de um objeto e o intervalo de tempo correspondente.,0.0,0.0
Física,Cinematica,O que é o princípio da inércia?,"O princípio da inércia afirma que um objeto em repouso tende a permanecer em repouso, e um objeto em movimento tende a manter seu movimento em linha reta, a menos que uma força externa atue sobre ele.",0.0,0.0
Física,Cinematica,O que é colisão Elástica?,Uma colisão elástica é aquela em que a energia cinética total do sistema é conservada antes e depois da colisão.,0.0,0.0
Física,Cinematica,O que é colisão Inelástica?,"Uma colisão inelástica é aquela em que parte da energia cinética do sistema é perdida durante a colisão, resultando em uma deformação ou perda de energia.",0.0,0.0
Física,Cinematica,O que é movimento circular Uniforme?,O movimento circular uniforme é aquele em que um objeto se move em uma trajetória circular com velocidade constante.,0.0,0.0
Física,Cinematica,O que é frequência?,A frequência é o número de voltas completas ou ciclos que um objeto realiza em um determinado intervalo de tempo.,0.0,0.0
Física,Cinematica,O que é período?,O período é o tempo necessário para um objeto completar uma volta completa em um movimento circular uniforme.,0.0,0.0
